loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"01/04/2024 15:12:19";"01/04/2024 15:12:49";0
"CENTRAL AGUIAR";"01/04/2024 15:16:19";"01/04/2024 15:16:49";0
"CENTRAL AGUIAR";"01/04/2024 15:20:19";"01/04/2024 15:20:49";0
"CENTRAL AGUIAR";"01/04/2024 15:24:19";"01/04/2024 15:24:49";0
"CENTRAL AGUIAR";"01/04/2024 15:28:19";"01/04/2024 15:28:49";0
"CENTRAL AGUIAR";"01/04/2024 15:32:20";"01/04/2024 15:32:50";0
"CENTRAL AGUIAR";"01/04/2024 15:36:20";"01/04/2024 15:36:50";0
"CENTRAL AGUIAR";"01/04/2024 15:40:20";"01/04/2024 15:40:50";0
"CENTRAL AGUIAR";"01/04/2024 15:44:20";"01/04/2024 15:44:50";0
"CENTRAL AGUIAR";"01/04/2024 15:45:50";"01/04/2024 15:46:20";1
"CENTRAL AGUIAR";"01/04/2024 15:48:20";"01/04/2024 15:48:50";0
"CENTRAL AGUIAR";"01/04/2024 15:53:20";"01/04/2024 15:53:50";0
"CENTRAL AGUIAR";"01/04/2024 15:58:20";"01/04/2024 15:58:50";0
"CENTRAL AGUIAR";"01/04/2024 16:02:21";"01/04/2024 16:02:51";0
"CENTRAL AGUIAR";"01/04/2024 16:03:50";"01/04/2024 16:04:20";1
"CENTRAL AGUIAR";"01/04/2024 16:07:20";"01/04/2024 16:07:50";0
"CENTRAL AGUIAR";"01/04/2024 16:11:20";"01/04/2024 16:11:50";0
"CENTRAL AGUIAR";"01/04/2024 16:15:20";"01/04/2024 16:15:50";0
"CENTRAL AGUIAR";"01/04/2024 16:16:50";"01/04/2024 16:17:20";1
"CENTRAL AGUIAR";"01/04/2024 16:19:20";"01/04/2024 16:19:50";0
"CENTRAL AGUIAR";"01/04/2024 16:23:21";"01/04/2024 16:23:51";0
"CENTRAL AGUIAR";"01/04/2024 16:27:21";"01/04/2024 16:27:51";0
"CENTRAL AGUIAR";"01/04/2024 16:31:21";"01/04/2024 16:31:51";0
"CENTRAL AGUIAR";"01/04/2024 16:32:51";"01/04/2024 16:33:21";1
"CENTRAL AGUIAR";"01/04/2024 16:35:21";"01/04/2024 16:35:51";0
